DOI,title,created
10.18409/jas.v1i1.2,['Letter from the Editors'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v1i1.3,['Editorial Messages'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v1i1.4,['Abstract Algebra in Statistics'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v1i1.6,['Position and Orientation Distributions for Non-Reversal Random Walks using Space-Group Fourier Transforms'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T13:39:47Z', 'timestamp': 1438090787000}"
10.18409/jas.v8i2.66.s21,['Figure 1'],"{'date-parts': [[2018, 1, 2]], 'date-time': '2018-01-02T15:44:30Z', 'timestamp': 1514907870000}"
10.18409/jas.v6i1.33,['A Family of Quasisymmetry Models'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v8i2.60,['Mixture models for rating data: the method of moments via Groebner bases'],"{'date-parts': [[2018, 1, 2]], 'date-time': '2018-01-02T15:44:30Z', 'timestamp': 1514907870000}"
10.18409/jas.v8i2.66,['Unimodular hierarchical models and their Graver bases'],"{'date-parts': [[2018, 1, 2]], 'date-time': '2018-01-02T15:44:30Z', 'timestamp': 1514907870000}"
10.18409/jas.v7i1.48,['An Euclidean norm based criterion to assess robots’ 2D path-following performance'],"{'date-parts': [[2016, 7, 12]], 'date-time': '2016-07-12T19:06:22Z', 'timestamp': 1468350382000}"
10.18409/jas.v7i1.49,['On multivariable cumulant polynomial sequences with applications'],"{'date-parts': [[2016, 7, 12]], 'date-time': '2016-07-12T19:06:22Z', 'timestamp': 1468350382000}"
10.18409/jas.v7i1.43,['Algebraic geometry of Poisson regression'],"{'date-parts': [[2016, 7, 12]], 'date-time': '2016-07-12T19:06:22Z', 'timestamp': 1468350382000}"
10.18409/jas.v7i1.41,['Mode Poset Probability Polytopes'],"{'date-parts': [[2016, 7, 12]], 'date-time': '2016-07-12T19:06:22Z', 'timestamp': 1468350382000}"
10.18409/jas.v8i1.55,['Markov bases for two-way change-point models of ladder determinantal   tables'],"{'date-parts': [[2017, 5, 3]], 'date-time': '2017-05-03T19:28:32Z', 'timestamp': 1493839712000}"
10.18409/jas.v8i1.50,['Matrix Completion for the Independence Model'],"{'date-parts': [[2017, 2, 15]], 'date-time': '2017-02-15T14:33:37Z', 'timestamp': 1487169217000}"
10.18409/jas.v8i1.47,['Ideal-Theoretic Strategies for Asymptotic Approximation of Marginal Likelihood Integrals'],"{'date-parts': [[2017, 2, 15]], 'date-time': '2017-02-15T14:33:37Z', 'timestamp': 1487169217000}"
10.18409/jas.v2i1.7,['An Iterative Method Converging to a Positive Solution of Certain Systems of Polynomial Equations'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v2i1.10,['Connectivity for 3 x 3 x K contingency tables'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v4i1.18,['Learning Coefficient in Bayesian Estimation of Restricted Boltzmann Machine'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v5i1.24,['Estimation for Dyadic-Dependent Exponential Random Graph Models'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v6i1.34,['Tying Up Loose Strands: Defining Equations of the Strand Symmetric Model'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v6i1.35,['On the Connectivity of Fiber Graphs'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v3i1.13,['Geometry of Higher-Order Markov Chains'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v3i1.15,['Phylogenetic invariants for group-based models'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v3i1.14,"['L-cumulants, L-cumulant embeddings and algebraic statis- tics']","{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v3i1.16,['Hilbert Polynomial of the Kimura 3-Parameter Model'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v1i1.5,['Open Problems on Connectivity of Fibers with Positive Margins in Multi-dimensional Contingency Tables'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v4i1.19,['On Polyhedral Approximations of Polytopes for Learning Bayesian Networks'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v5i1.26,['Generic Identication of Binary-Valued Hidden Markov Processes'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v2i1.11,['Bayesian Fusion on Lie Groups'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v4i1.21,['Betti Numbers of Cut Ideals of Trees'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v4i1.20,['Higher Connectivity of Fiber Graphs of Gröbner Bases'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v6i1.36,['The precision space of interpolatory cubature formulæ'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v4i1.17,['Binary hidden Markov models and varieties'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v5i1.23,['Maximum Likelihood for Matrices with Rank Constraints'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v5i1.25,['One example of general unidentifiable tensors'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v2i1.8,['Properties of semi-elementary imsets as sums of elemen- tary imsets'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v2i1.27,['Detecting epistasis via Markov bases'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v2i1.12,['Array Variate Random Variables with Multiway Kro- necker Delta Covariance Matrix Structure'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v7i1.42,['Moment Varieties of Gaussian Mixtures'],"{'date-parts': [[2016, 7, 12]], 'date-time': '2016-07-12T19:06:22Z', 'timestamp': 1468350382000}"
10.18409/jas.v8i2.66.s20,['TeX'],"{'date-parts': [[2018, 1, 2]], 'date-time': '2018-01-02T15:44:30Z', 'timestamp': 1514907870000}"
10.18409/jas.v8i2.66.s22,['Figure 2'],"{'date-parts': [[2018, 1, 2]], 'date-time': '2018-01-02T15:44:30Z', 'timestamp': 1514907870000}"
10.18409/jas.v8i2.66.s24,['Figure 3'],"{'date-parts': [[2018, 1, 2]], 'date-time': '2018-01-02T15:44:30Z', 'timestamp': 1514907870000}"
